Material_ID,Formula,Bandgap,Formation_Energy,Volume
mp-1183115,AcAlO3,4.1024,-3.690019421499996,57.4514132376898
mp-1183052,AcBO3,0.8071000000000002,-2.475389555333333,51.54812640786059
mp-866101,AcCrO3,2.0031000000000008,-3.1389721295,61.36284504026082
mp-864606,AcCuO3,0.0,-2.4228924235,59.92938665681022
mp-861502,AcFeO3,1.0084,-2.771539465500001,61.79731063258672
mp-1183053,AcGaO3,2.895900000000001,-3.0632526170000007,61.455078293307366
mp-1183142,AcMgO3,0.0,-3.0018453265,64.78375373225691
mp-864911,AcMnO3,0.0,-2.9736300230862063,62.24139882978788
mp-1183139,AcNiO3,0.0,-2.455476575499998,58.35821779959113
mp-1183145,AcPdO3,0.0,-2.236955405499998,66.68667373916479
mp-1183152,AcScO3,3.3847000000000005,-3.8290604304999993,70.19180130743561
mp-1183150,AcSiO3,0.0,-2.8682463835,62.5790478372491
mp-865927,AcTiO3,0.0,-3.60763573816667,63.7995700747627
mp-1183168,AcVO3,0.0,-3.141069095500004,62.47131331416277
mp-36600,Ag3SBr,0.3976999999999999,-0.3357321324999986,233.82701370779407
mp-1105645,Ag3SBr,0.2964,-0.3057161119999989,484.8055176451492
mp-1229116,Ag3SBr,0.3987,-0.3403298774999989,118.09093879361744
mp-22995,Ag3SI,0.5390000000000001,-0.2604658654999987,121.85555000145258
mp-558189,Ag3SI,0.6242999999999999,-0.2108885574999988,125.72032925181092
mp-632480,Ag3SI,0.1675999999999997,-0.2536018294999987,123.3438233881282
mp-673825,Ag3SI,0.2569999999999997,-0.2425190604999986,244.0308376019067
mp-674981,Ag3SI,0.2623999999999999,-0.2500590374999987,123.7565455921474
mp-675879,Ag3SI,0.2850999999999999,-0.2517743194999987,247.32376322424776
mp-676121,Ag3SI,0.3738999999999999,-0.2533497424999986,271.07710159969986
mp-676561,Ag3SI,0.3330000000000002,-0.2496718574999984,124.86936728848828
mp-1173025,Ag3SI,0.3526875971307706,-0.2406087604999985,247.258550725043
mp-558950,AgAsO3,0.4984999999999999,-1.2439459445833336,1728.699514830734
mp-775767,AgAsO3,0.5616999999999999,-1.2324433943333333,304.7254522248717
mp-1178563,AgAsO3,0.2921,-1.269711258833334,119.28055162319482
mp-752678,AgAuO3,0.0,0.0024645291666672,294.29506712515894
mp-776165,AgAuO3,0.2423000000000001,-0.3568438423333326,273.488677155319
mp-780275,AgBO3,0.0,-1.501129671166666,109.9353807286683
mp-985292,AgBO3,0.0,-0.5466139891666664,42.26372548752631
mp-23548,AgBiO3,0.0,-1.0030110113333337,154.63007543874295
mp-775774,AgBiO3,0.0,-1.024969332333334,149.26590686018258
mp-1178562,AgBrO3,2.383,-0.2850357963333323,77.26506831359747
mp-753176,AgCO3,0.0,-1.2336281313333315,113.34598203986192
mp-27941,AgClO3,2.3983,-0.4072458953333331,307.0636281159876
mp-775761,AgClO3,2.925,-0.4139464693333338,291.05972332883755
mp-776199,AgClO3,3.1131,-0.3969256763333327,309.0459323760985
mp-1178561,AgClO3,2.7117,-0.352713047333333,76.84405818753127
mp-759939,AgGeO3,0.0,-1.3099130223333333,113.78514352920584
mp-779664,AgGeO3,0.0,-1.335860173333333,152.22963156576708
mp-779706,AgGeO3,0.0,-1.331455818833333,292.25589368380406
mp-891854,AgGeO3,0.0,-1.335310217333333,152.23687320929267
mp-891880,AgGeO3,0.0,-1.3376417507083331,1210.6981013108827
mp-27384,AgIO3,2.4375,-0.7130686653333328,626.0775664617084
mp-849271,AgIO3,1.9765,-0.6855987918333326,331.9799078095097
mp-1202188,AgIO3,1.8079435668012565,-0.7021254153333331,589.6520320460871
mp-8196,AgNO3,1.7204,-0.649492202333333,66.94305711049056
mp-552185,AgNO3,1.8635,-0.6806635453333335,125.10450403344892
mp-638686,AgNO3,2.0089,-0.6782841628333329,497.832124749116
mp-669466,AgNO3,2.0035935215150227,-0.6756339573333335,537.0054543267189
mp-18702,AgPO3,2.0246000000000004,-1.958048157761913,523.544804128728
mp-775762,AgPO3,2.1168,-1.9126033292619036,264.7268375552521
mp-5470,AgPS3,1.3228,-0.2325012062827369,222.4638175390565
mp-1178556,AgPbO3,0.0,-0.8454335293333323,146.41846842959492
mp-1200271,AgPd3Se,0.0,-0.2615180838020826,675.813781221423
mp-776166,AgPdO3,0.0,-0.1742727033333331,267.596321977409
mp-776168,AgRuO3,0.0,-0.9938485823333332,265.5367834644938
mp-540872,AgSbO3,0.0945999999999998,-1.4444746703333329,271.7080679491053
mp-545999,AgSbO3,0.1332999999999997,-1.4277115103333338,137.6369853909369
mp-677054,AgSbO3,0.0,-1.367956171,857.9101650285205
mp-860791,AgSbO3,0.2886999999999999,-1.3840513180000007,430.8249683273084
mp-569052,AgSe3I,1.4068,-0.1710123317395826,633.5274140517166
mp-755834,AgSnO3,0.0,-1.3498479333333329,134.59491336386623
mp-570431,AgTe3I,1.0135999999999998,-0.1681686683333321,746.5721189941695
mp-558637,AgTeO3,1.6662000000000003,-1.125950917416666,574.8261713517004
mp-559257,AgTeO3,1.4211,-1.1464252671666664,600.0363880095312
mp-561489,AgTeO3,1.1630000000000005,-1.1263011086666666,274.18003351321124
mp-1228446,Al3BC,0.4530000000000003,-0.2022816174999988,120.36064717516008
mp-1183169,AlAgO3,0.0,-1.615019715333333,52.77775563990637
mp-1253488,AlAgO3,0.0622,-1.761097008833333,247.91957719409973
mp-1343327,AlAgO3,0.0480999999999998,-1.6208831860000004,343.77477103566014
mp-1343733,AlAgO3,0.0314999999999998,-1.7376004953333328,237.67755732530316
mp-1404877,AlAgO3,0.0,-1.3808813733333332,116.48724396800375
